Identifier,Title,Start date,End date,Number of deaths,Incident_Type,State,number_of_death,Incident Duration,Month_Year,Day_of_Week,Year
IBD031681,"Food Poisoning, Imo",2025-04-18,2025-04-18,1,Food Poisoning, Imo,1,0,2025-04,Friday,2025
IBD032064,"Gunmen Kill Man, Benue",2025-03-31,2025-03-31,1,Gunmen Kill Man, Benue,1,0,2025-03,Monday,2025
IBD032058,"Auto Crash, Lagos",2025-03-31,2025-03-31,1,Auto Crash, Lagos,1,0,2025-03,Monday,2025
IBD032066,"Stray Bullets, Sokoto",2025-03-31,2025-03-31,1,Stray Bullets, Sokoto,1,0,2025-03,Monday,2025
IBD032062,"Lightening Kills Herder, Kaduna",2025-03-30,2025-03-30,1,Lightening Kills Herder, Kaduna,1,0,2025-03,Sunday,2025
IBD032049,"Auto Crash, Katsina",2025-03-30,2025-03-30,9,Auto Crash, Katsina,9,0,2025-03,Sunday,2025
IBD032065,"Sallah Day Celebration Clash, Plateau",2025-03-30,2025-03-30,4,Sallah Day Celebration Clash, Plateau,4,0,2025-03,Sunday,2025
IBD032054,"Auto Crash, Abia",2025-03-30,2025-03-30,1,Auto Crash, Abia,1,0,2025-03,Sunday,2025
IBD032048,"Gas Explosion, Delta",2025-03-30,2025-03-30,2,Gas Explosion, Delta,2,0,2025-03,Sunday,2025
IBD032061,"Auto Crash, Ogun",2025-03-30,2025-03-30,1,Auto Crash, Ogun,1,0,2025-03,Sunday,2025
IBD032052,"Stampede, Gombe",2025-03-30,2025-03-30,2,Stampede, Gombe,2,0,2025-03,Sunday,2025
IBD032063,"Fishing Activities, Kogi",2025-03-30,2025-03-30,2,Fishing Activities, Kogi,2,0,2025-03,Sunday,2025
IBD032057,"Herdsmen Kill Graduate, FCT (Abuja)",2025-03-29,2025-03-29,1,Herdsmen Kill Graduate, FCT (Abuja),1,0,2025-03,Saturday,2025
IBD032060,"Labourer Kills Employer, Ondo",2025-03-29,2025-03-29,1,Labourer Kills Employer, Ondo,1,0,2025-03,Saturday,2025
IBD032050,"Auto Crash, Lagos",2025-03-29,2025-03-29,1,Auto Crash, Lagos,1,0,2025-03,Saturday,2025
IBD032059,"Extrajudicial Killing, Delta",2025-03-29,2025-03-29,1,Extrajudicial Killing, Delta,1,0,2025-03,Saturday,2025
IBD032046,"Security Forces vs Shiites Members, FCT (Abuja)",2025-03-28,2025-03-28,6,Security Forces vs Shiites Members, FCT (Abuja),6,0,2025-03,Friday,2025
IBD032056,"Pirates vs Fashion Designer, Rivers (Offshore)",2025-03-28,2025-03-28,1,Pirates vs Fashion Designer, Rivers (Offshore),1,0,2025-03,Friday,2025
IBD032042,"Gas Explosion, Abia",2025-03-27,2025-03-27,2,Gas Explosion, Abia,2,0,2025-03,Thursday,2025
IBD032051,"Gunmen Attack, Plateau",2025-03-27,2025-03-27,52,Gunmen Attack, Plateau,52,0,2025-03,Thursday,2025
IBD032028,"Auto Crash, Kano",2025-03-26,2025-03-26,2,Auto Crash, Kano,2,0,2025-03,Wednesday,2025
IBD032027,"Lakurawa vs Customs Officers, Kebbi",2025-03-26,2025-03-26,2,Lakurawa vs Customs Officers, Kebbi,2,0,2025-03,Wednesday,2025
IBD032045,"Domestic Violence, Sokoto",2025-03-26,2025-03-26,1,Domestic Violence, Sokoto,1,0,2025-03,Wednesday,2025
IBD032037,"Domestic Violence, Edo",2025-03-26,2025-03-26,1,Domestic Violence, Edo,1,0,2025-03,Wednesday,2025
IBD032033,"Taskforce Raid, FCT (Abuja)",2025-03-26,2025-03-26,2,Taskforce Raid, FCT (Abuja),2,0,2025-03,Wednesday,2025
IBD032032,"Chieftaincy Tussle, Ondo",2025-03-26,2025-03-26,1,Chieftaincy Tussle, Ondo,1,0,2025-03,Wednesday,2025
IBD032039,"Domestic Violence, Lagos",2025-03-26,2025-03-26,1,Domestic Violence, Lagos,1,0,2025-03,Wednesday,2025
IBD032044,"Domestic Violence, Ekiti",2025-03-25,2025-03-25,2,Domestic Violence, Ekiti,2,0,2025-03,Tuesday,2025
IBD032030,"Rainstorm, Cross River",2025-03-25,2025-03-25,3,Rainstorm, Cross River,3,0,2025-03,Tuesday,2025
IBD032025,"Auto Crash, Abia",2025-03-25,2025-03-25,2,Auto Crash, Abia,2,0,2025-03,Tuesday,2025
IBD032034,"Gunmen vs Land Agent, Delta",2025-03-25,2025-03-25,1,Gunmen vs Land Agent, Delta,1,0,2025-03,Tuesday,2025
IBD032041,"Pipeline Vandal, Rivers",2025-03-25,2025-03-25,1,Pipeline Vandal, Rivers,1,0,2025-03,Tuesday,2025
IBD032020,"Troops vs Armed Robber, Plateau",2025-03-24,2025-03-24,1,Troops vs Armed Robber, Plateau,1,0,2025-03,Monday,2025
IBD032019,"Troops Kill Bandit, Plateau",2025-03-24,2025-03-24,1,Troops Kill Bandit, Plateau,1,0,2025-03,Monday,2025
IBD032014,"Kidnapper, Anambra",2025-03-24,2025-03-24,1,Kidnapper, Anambra,1,0,2025-03,Monday,2025
IBD032026,"Ritual Killing, Rivers",2025-03-24,2025-03-24,2,Ritual Killing, Rivers,2,0,2025-03,Monday,2025
IBD032017,"Army vs Boko Haram, Borno",2025-03-24,2025-03-24,8,Army vs Boko Haram, Borno,8,0,2025-03,Monday,2025
IBD032009,"Jailbreak, Kogi",2025-03-24,2025-03-24,1,Jailbreak, Kogi,1,0,2025-03,Monday,2025
IBD032055,"Auto Crash, Lagos",2025-03-24,2025-03-24,1,Auto Crash, Lagos,1,0,2025-03,Monday,2025
IBD032012,"Gunmen vs Police, Enugu",2025-03-24,2025-03-24,1,Gunmen vs Police, Enugu,1,0,2025-03,Monday,2025
IBD032016,"Army vs Boko Haram, Borno",2025-03-24,2025-03-24,3,Army vs Boko Haram, Borno,3,0,2025-03,Monday,2025
IBD031984,"Extrajudicial Killing, Cross River",2025-03-23,2025-03-23,2,Extrajudicial Killing, Cross River,2,0,2025-03,Sunday,2025
IBD032006,"Assailants vs Motorcycle Rider, Bauchi",2025-03-23,2025-03-23,1,Assailants vs Motorcycle Rider, Bauchi,1,0,2025-03,Sunday,2025
IBD032018,"Hunter Killed, Ogun",2025-03-23,2025-03-23,1,Hunter Killed, Ogun,1,0,2025-03,Sunday,2025
IBD032007,"Gunmen Attack, Plateau",2025-03-23,2025-03-23,3,Gunmen Attack, Plateau,3,0,2025-03,Sunday,2025
IBD032008,"Auto Crash, Osun",2025-03-23,2025-03-23,8,Auto Crash, Osun,8,0,2025-03,Sunday,2025
IBD032010,"Bandits Kill 2, Kogi",2025-03-23,2025-03-23,2,Bandits Kill 2, Kogi,2,0,2025-03,Sunday,2025
IBD031983,"Bandits Attack, Sokoto",2025-03-22,2025-03-22,1,Bandits Attack, Sokoto,1,0,2025-03,Saturday,2025
IBD031989,"Bandits vs Security Operatives, Zamfara",2025-03-22,2025-03-22,10,Bandits vs Security Operatives, Zamfara,10,0,2025-03,Saturday,2025
IBD031985,"Kidnappers Kill 1, Benue",2025-03-22,2025-03-22,1,Kidnappers Kill 1, Benue,1,0,2025-03,Saturday,2025
IBD032035,"Kidnap Victims, Kaduna",2025-03-22,2025-03-22,3,Kidnap Victims, Kaduna,3,0,2025-03,Saturday,2025
IBD031987,"Herdsmen Attack, Edo",2025-03-22,2025-03-22,1,Herdsmen Attack, Edo,1,0,2025-03,Saturday,2025
IBD031995,"Herders Kill Farmer, FCT (Abuja)",2025-03-22,2025-03-22,1,Herders Kill Farmer, FCT (Abuja),1,0,2025-03,Saturday,2025
IBD031990,"Assailants vs Security Man, Bauchi",2025-03-22,2025-03-22,1,Assailants vs Security Man, Bauchi,1,0,2025-03,Saturday,2025
IBD032011,"POS Operator, Adamawa",2025-03-22,2025-03-22,1,POS Operator, Adamawa,1,0,2025-03,Saturday,2025
IBD032021,"Generator Fume Kill 2, Rivers",2025-03-22,2025-03-22,2,Generator Fume Kill 2, Rivers,2,0,2025-03,Saturday,2025
IBD031992,"Communal Clash, Osun",2025-03-21,2025-03-21,2,Communal Clash, Osun,2,0,2025-03,Friday,2025
IBD031996,"Hoodlums vs Worshippers, Kaduna",2025-03-21,2025-03-21,1,Hoodlums vs Worshippers, Kaduna,1,0,2025-03,Friday,2025
IBD032040,"Man Dies in Hotel, Delta",2025-03-21,2025-03-21,1,Man Dies in Hotel, Delta,1,0,2025-03,Friday,2025
IBD032038,"Domestic Violence, Edo",2025-03-21,2025-03-21,1,Domestic Violence, Edo,1,0,2025-03,Friday,2025
IBD032031,Police vs Kidnappers. Delta,2025-03-21,2025-03-21,5,Police vs Kidnappers. Delta,Delta,5,0,2025-03,Friday,2025
IBD031986,"Gunmen Attack, Anambra",2025-03-20,2025-03-20,3,Gunmen Attack, Anambra,3,0,2025-03,Thursday,2025
IBD032004,"Security Force vs Lakurawa, Kebbi",2025-03-20,2025-03-20,2,Security Force vs Lakurawa, Kebbi,2,0,2025-03,Thursday,2025
IBD032047,"Northern Hunters, Edo",2025-03-20,2025-03-20,16,Northern Hunters, Edo,16,0,2025-03,Thursday,2025
IBD031981,"Miyetti Allah Chairman, Plateau",2025-03-20,2025-03-20,1,Miyetti Allah Chairman, Plateau,1,0,2025-03,Thursday,2025
IBD032013,"Kidnap Victim, Bauchi",2025-03-20,2025-03-20,1,Kidnap Victim, Bauchi,1,0,2025-03,Thursday,2025
IBD031980,"Herdsmen Attack, Benue",2025-03-19,2025-03-19,5,Herdsmen Attack, Benue,5,0,2025-03,Wednesday,2025
IBD031982,"Rape Victim, Delta",2025-03-19,2025-03-19,1,Rape Victim, Delta,1,0,2025-03,Wednesday,2025
IBD032002,"Inferno, Yobe",2025-03-19,2025-03-19,1,Inferno, Yobe,1,0,2025-03,Wednesday,2025
IBD031994,"Banditary, Katsina",2025-03-19,2025-03-19,10,Banditary, Katsina,10,0,2025-03,Wednesday,2025
IBD031971,"Domestic Violence, Lagos",2025-03-19,2025-03-19,1,Domestic Violence, Lagos,1,0,2025-03,Wednesday,2025
IBD031979,"Assailants vs Security Guard, Ebonyi",2025-03-19,2025-03-19,1,Assailants vs Security Guard, Ebonyi,1,0,2025-03,Wednesday,2025
IBD031972,"Explosion/Auto Crash, FCT (Abuja)",2025-03-19,2025-03-19,10,Explosion/Auto Crash, FCT (Abuja),10,0,2025-03,Wednesday,2025
IBD031975,"Herders vs Farmers, Ondo",2025-03-19,2025-03-19,10,Herders vs Farmers, Ondo,10,0,2025-03,Wednesday,2025
IBD031970,"Auto Crash, Rivers",2025-03-18,2025-03-18,1,Auto Crash, Rivers,1,0,2025-03,Tuesday,2025
IBD031993,"NAF vs Boko Haram, Borno",2025-03-18,2025-03-18,25,NAF vs Boko Haram, Borno,25,0,2025-03,Tuesday,2025
IBD031978,"Rainstorm Kill 1, Ogun",2025-03-18,2025-03-18,1,Rainstorm Kill 1, Ogun,1,0,2025-03,Tuesday,2025
IBD031974,"Army vs Terrorist, Zamfara",2025-03-18,2025-03-18,7,Army vs Terrorist, Zamfara,7,0,2025-03,Tuesday,2025
IBD031977,Police vs Gunmen Benue,2025-03-18,2025-03-19,12,Police vs Gunmen Benue,Benue,12,1,2025-03,Tuesday,2025
IBD031969,"Communal Clash, Ebonyi",2025-03-17,2025-03-17,2,Communal Clash, Ebonyi,2,0,2025-03,Monday,2025
IBD031973,"Army vs Terrorist, Katsina",2025-03-17,2025-03-17,3,Army vs Terrorist, Katsina,3,0,2025-03,Monday,2025
IBD031991,"NAF vs Boko Haram, Borno",2025-03-17,2025-03-17,10,NAF vs Boko Haram, Borno,10,0,2025-03,Monday,2025
IBD031988,"Lawyer vs Student, Imo",2025-03-17,2025-03-17,1,Lawyer vs Student, Imo,1,0,2025-03,Monday,2025
IBD032003,"Electrocution, Lagos",2025-03-17,2025-03-17,1,Electrocution, Lagos,1,0,2025-03,Monday,2025
IBD031976,"Herdsmen Attack, Benue",2025-03-17,2025-03-17,2,Herdsmen Attack, Benue,2,0,2025-03,Monday,2025
IBD032036,"NAF vs Terrorists, Borno",2025-03-16,2025-03-16,40,NAF vs Terrorists, Borno,40,0,2025-03,Sunday,2025
IBD032005,"Explosion, Rivers",2025-03-16,2025-03-16,1,Explosion, Rivers,1,0,2025-03,Sunday,2025
IBD031955,"Auto Crash, Imo",2025-03-16,2025-03-16,7,Auto Crash, Imo,7,0,2025-03,Sunday,2025
IBD031997,"Boy Suffocates, Lagos",2025-03-16,2025-03-16,1,Boy Suffocates, Lagos,1,0,2025-03,Sunday,2025
IBD032015,"Domestic Violence, Edo",2025-03-16,2025-03-16,2,Domestic Violence, Edo,2,0,2025-03,Sunday,2025
IBD031952,"Armed Robbers vs Watchman, Katsina",2025-03-16,2025-03-16,1,Armed Robbers vs Watchman, Katsina,1,0,2025-03,Sunday,2025
IBD032023,"Auto Crash, Kaduna",2025-03-16,2025-03-16,2,Auto Crash, Kaduna,2,0,2025-03,Sunday,2025
IBD031959,"Gunmen vs Fulani Leader, Kwara",2025-03-16,2025-03-16,1,Gunmen vs Fulani Leader, Kwara,1,0,2025-03,Sunday,2025
IBD015011,"Mob Attack, Lagos",2025-03-15,2025-03-15,1,Mob Attack, Lagos,1,0,2025-03,Saturday,2025
IBD031949,"Auto Crash, Anambra",2025-03-15,2025-03-15,6,Auto Crash, Anambra,6,0,2025-03,Saturday,2025
IBD031958,"Assailants vs Bride, Jigawa",2025-03-15,2025-03-15,1,Assailants vs Bride, Jigawa,1,0,2025-03,Saturday,2025
IBD031950,"Army vs Bandits, Katsina",2025-03-15,2025-03-15,12,Army vs Bandits, Katsina,12,0,2025-03,Saturday,2025
IBD031953,"Army vs Bandits, Katsina",2025-03-15,2025-03-15,12,Army vs Bandits, Katsina,12,0,2025-03,Saturday,2025
IBD032022,"Mob vs Armed Robber, Lagos",2025-03-15,2025-03-15,1,Mob vs Armed Robber, Lagos,1,0,2025-03,Saturday,2025
IBD031942,"Communal Clash, Cross River",2025-03-15,2025-03-15,2,Communal Clash, Cross River,2,0,2025-03,Saturday,2025
IBD031965,"Cult Clash, Ogun",2025-03-15,2025-03-15,4,Cult Clash, Ogun,4,0,2025-03,Saturday,2025
IBD031945,"Police vs Kidnappers, Abia",2025-03-14,2025-03-14,6,Police vs Kidnappers, Abia,6,0,2025-03,Friday,2025
IBD031967,"Gunmen vs Herders, Enugu",2025-03-14,2025-03-14,5,Gunmen vs Herders, Enugu,5,0,2025-03,Friday,2025
IBD031946,"Police vs Kidnapper, Nasarawa",2025-03-14,2025-03-14,1,Police vs Kidnapper, Nasarawa,1,0,2025-03,Friday,2025
IBD031948,"Drowns, Rivers",2025-03-14,2025-03-14,1,Drowns, Rivers,1,0,2025-03,Friday,2025
IBD031968,"Domestic Violence, Abia",2025-03-14,2025-03-14,1,Domestic Violence, Abia,1,0,2025-03,Friday,2025
IBD031943,"NAF vs Bandit, Katsina",2025-03-13,2025-03-13,22,NAF vs Bandit, Katsina,22,0,2025-03,Thursday,2025
IBD031944,"Catholic Seminarian, Edo",2025-03-13,2025-03-13,1,Catholic Seminarian, Edo,1,0,2025-03,Thursday,2025
IBD031956,"Farmer, Benue",2025-03-12,2025-03-12,1,Farmer, Benue,1,0,2025-03,Wednesday,2025
IBD031947,"Soldiers vs Kidnappers, Plateau",2025-03-12,2025-03-12,2,Soldiers vs Kidnappers, Plateau,2,0,2025-03,Wednesday,2025
IBD031938,"Auto Crash, Edo",2025-03-12,2025-03-12,1,Auto Crash, Edo,1,0,2025-03,Wednesday,2025
IBD031954,"Vigilantes, FCT (Abuja)",2025-03-11,2025-03-11,2,Vigilantes, FCT (Abuja),2,0,2025-03,Tuesday,2025
IBD032024,"Kidnappers vs Village Head, Kaduna",2025-03-11,2025-03-11,1,Kidnappers vs Village Head, Kaduna,1,0,2025-03,Tuesday,2025
IBD031929,"Auto Crash/Explosion, Lagos",2025-03-11,2025-03-11,3,Auto Crash/Explosion, Lagos,3,0,2025-03,Tuesday,2025
IBD031928,"Herders Attack, Benue",2025-03-11,2025-03-11,4,Herders Attack, Benue,4,0,2025-03,Tuesday,2025
IBD031937,"Army vs Terrorist, Kaduna",2025-03-11,2025-03-11,3,Army vs Terrorist, Kaduna,3,0,2025-03,Tuesday,2025
IBD031957,"Bandits vs Worshippers, Nasarawa",2025-03-10,2025-03-10,3,Bandits vs Worshippers, Nasarawa,3,0,2025-03,Monday,2025
IBD031909,"Domestic Violence, Akwa Ibom",2025-03-10,2025-03-10,1,Domestic Violence, Akwa Ibom,1,0,2025-03,Monday,2025
IBD031924,"Extrajudicial Killing, Niger",2025-03-10,2025-03-10,1,Extrajudicial Killing, Niger,1,0,2025-03,Monday,2025
IBD031927,"Extrajudicial Killing, Niger",2025-03-10,2025-03-10,1,Extrajudicial Killing, Niger,1,0,2025-03,Monday,2025
IBD031904,"Auxiliary Nurse , Delta",2025-03-10,2025-03-10,1,Auxiliary Nurse , Delta,1,0,2025-03,Monday,2025
IBD031926,"Extrajudicial Killings, Niger",2025-03-10,2025-03-10,1,Extrajudicial Killings, Niger,1,0,2025-03,Monday,2025
IBD031916,"Police vs Kidnappers, Akwa Ibom",2025-03-10,2025-03-10,1,Police vs Kidnappers, Akwa Ibom,1,0,2025-03,Monday,2025
IBD031925,"Farmers vs Herders, Nasarawa",2025-03-10,2025-03-10,11,Farmers vs Herders, Nasarawa,11,0,2025-03,Monday,2025
IBD031930,"Assailant vs Man, Lagos",2025-03-10,2025-03-10,1,Assailant vs Man, Lagos,1,0,2025-03,Monday,2025
IBD031961,"Police vs Kidnappers, Delta",2025-03-09,2025-03-09,4,Police vs Kidnappers, Delta,4,0,2025-03,Sunday,2025
IBD031911,"Lakurawa Bandits Kills 11, Kebbi",2025-03-09,2025-03-09,13,Lakurawa Bandits Kills 11, Kebbi,13,0,2025-03,Sunday,2025
IBD031910,"Suspected Herders Kill 20, Ondo",2025-03-09,2025-03-09,17,Suspected Herders Kill 20, Ondo,17,0,2025-03,Sunday,2025
IBD031915,"Customs Operavtives vs Smugglers, Ogun",2025-03-09,2025-03-09,1,Customs Operavtives vs Smugglers, Ogun,1,0,2025-03,Sunday,2025
IBD031912,"Auto Crash, Edo",2025-03-09,2025-03-09,8,Auto Crash, Edo,8,0,2025-03,Sunday,2025
IBD031917,"Auto Crash, Ogun",2025-03-09,2025-03-09,4,Auto Crash, Ogun,4,0,2025-03,Sunday,2025
IBD031923,"Auto Crash, FCT (Abuja)",2025-03-09,2025-03-09,1,Auto Crash, FCT (Abuja),1,0,2025-03,Sunday,2025
IBD031921,"Kidnappers vs Woman, Kaduna",2025-03-09,2025-03-09,1,Kidnappers vs Woman, Kaduna,1,0,2025-03,Sunday,2025
IBD031934,"Murder, Niger",2025-03-08,2025-03-08,1,Murder, Niger,1,0,2025-03,Saturday,2025
IBD031935,"Drown, Niger",2025-03-08,2025-03-08,1,Drown, Niger,1,0,2025-03,Saturday,2025
IBD031919,"Palm Tree Kills Man, Ogun",2025-03-08,2025-03-08,1,Palm Tree Kills Man, Ogun,1,0,2025-03,Saturday,2025
IBD031906,"Fight, Lagos",2025-03-08,2025-03-08,1,Fight, Lagos,1,0,2025-03,Saturday,2025
IBD031922,"Man vs Friend, FCT (Abuja)",2025-03-08,2025-03-08,1,Man vs Friend, FCT (Abuja),1,0,2025-03,Saturday,2025
IBD031905,"Cultist vs DJ, Lagos",2025-03-08,2025-03-08,1,Cultist vs DJ, Lagos,1,0,2025-03,Saturday,2025
IBD031931,"Boko Haram vs Vigilante, Yobe",2025-03-08,2025-03-08,1,Boko Haram vs Vigilante, Yobe,1,0,2025-03,Saturday,2025
IBD031914,"Gunmen vs APC Council Chairman, Lagos",2025-03-08,2025-03-08,1,Gunmen vs APC Council Chairman, Lagos,1,0,2025-03,Saturday,2025
IBD031900,"Communal Clash, Niger",2025-03-08,2025-03-08,1,Communal Clash, Niger,1,0,2025-03,Saturday,2025
IBD031897,"Miyetti Allah Chairman, Kwara",2025-03-08,2025-03-08,1,Miyetti Allah Chairman, Kwara,1,0,2025-03,Saturday,2025
IBD031951,"Boy Beheaded, Adamawa",2025-03-07,2025-03-07,1,Boy Beheaded, Adamawa,1,0,2025-03,Friday,2025
IBD031932,"Herdsmen Attack, Kogi",2025-03-07,2025-03-07,2,Herdsmen Attack, Kogi,2,0,2025-03,Friday,2025
IBD031899,"Auto Crash, Abia",2025-03-07,2025-03-07,5,Auto Crash, Abia,5,0,2025-03,Friday,2025
IBD031898,"Ritual Killing, Edo",2025-03-07,2025-03-07,1,Ritual Killing, Edo,1,0,2025-03,Friday,2025
IBD031902,"Herdsmen Attack, Benue",2025-03-07,2025-03-08,15,Herdsmen Attack, Benue,15,1,2025-03,Friday,2025
IBD031885,"Medical Negligence, Benue",2025-03-06,2025-03-06,5,Medical Negligence, Benue,5,0,2025-03,Thursday,2025
IBD031876,"Electrocution, Ogun",2025-03-06,2025-03-06,1,Electrocution, Ogun,1,0,2025-03,Thursday,2025
IBD031940,"Domestic Violence, Ogun",2025-03-06,2025-03-06,1,Domestic Violence, Ogun,1,0,2025-03,Thursday,2025
IBD031895,"Security Operatives vs Terrorist, Kebbi",2025-03-06,2025-03-06,1,Security Operatives vs Terrorist, Kebbi,1,0,2025-03,Thursday,2025
IBD031882,"Building Collapse, Lagos",2025-03-05,2025-03-05,3,Building Collapse, Lagos,3,0,2025-03,Wednesday,2025
IBD031891,"Security Operatives vs Bandits, Zamfara",2025-03-05,2025-03-05,12,Security Operatives vs Bandits, Zamfara,12,0,2025-03,Wednesday,2025
IBD031892,"Auto Crash/ Explosion, Niger",2025-03-05,2025-03-05,7,Auto Crash/ Explosion, Niger,7,0,2025-03,Wednesday,2025
IBD031998,"Drowns, FCT (Abuja)",2025-03-05,2025-03-05,1,Drowns, FCT (Abuja),1,0,2025-03,Wednesday,2025
IBD031880,"Gunmen vs Cleric, Kaduna",2025-03-05,2025-03-05,1,Gunmen vs Cleric, Kaduna,1,0,2025-03,Wednesday,2025
IBD031894,"Auto Crash, Bayelsa",2025-03-05,2025-03-05,2,Auto Crash, Bayelsa,2,0,2025-03,Wednesday,2025
IBD031871,"Explosion, Oyo",2025-03-04,2025-03-04,2,Explosion, Oyo,2,0,2025-03,Tuesday,2025
IBD032053,"Auto Crash, Lagos",2025-03-04,2025-03-04,1,Auto Crash, Lagos,1,0,2025-03,Tuesday,2025
IBD031869,"Police vs Herder, Edo",2025-03-04,2025-03-04,1,Police vs Herder, Edo,1,0,2025-03,Tuesday,2025
IBD031870,"Auto Crash, Ogun",2025-03-04,2025-03-04,17,Auto Crash, Ogun,17,0,2025-03,Tuesday,2025
IBD031865,"Gunmen Attack, Abia",2025-03-04,2025-03-04,2,Gunmen Attack, Abia,2,0,2025-03,Tuesday,2025
IBD031881,"Auto Crash, Anambra",2025-03-04,2025-03-04,10,Auto Crash, Anambra,10,0,2025-03,Tuesday,2025
IBD031848,"Bridge Collapse, Akwa Ibom",2025-03-04,2025-03-04,4,Bridge Collapse, Akwa Ibom,4,0,2025-03,Tuesday,2025
IBD031873,"Gunmen vs Immigration Officer, FCT (Abuja)",2025-03-04,2025-03-04,1,Gunmen vs Immigration Officer, FCT (Abuja),1,0,2025-03,Tuesday,2025
IBD031889,"Man Dies Working on Farm, FCT (Abuja)",2025-03-04,2025-03-04,1,Man Dies Working on Farm, FCT (Abuja),1,0,2025-03,Tuesday,2025
IBD031884,"Police vs Kidnappers, FCT (Abuja)",2025-03-04,2025-03-04,14,Police vs Kidnappers, FCT (Abuja),14,0,2025-03,Tuesday,2025
IBD031879,"Auto Crash, Kogi",2025-03-03,2025-03-03,4,Auto Crash, Kogi,4,0,2025-03,Monday,2025
IBD031877,"Gunmen Attack, Benue",2025-03-03,2025-03-03,2,Gunmen Attack, Benue,2,0,2025-03,Monday,2025
IBD031890,"Boko Harm Kill Police Officer Children, Borno",2025-03-03,2025-03-03,2,Boko Harm Kill Police Officer Children, Borno,2,0,2025-03,Monday,2025
IBD031868,Gunmen vs Site Engineer Edo,2025-03-03,2025-03-03,1,Gunmen vs Site Engineer Edo,Edo,1,0,2025-03,Monday,2025
IBD031867,"Drown, FCT (Abuja)",2025-03-03,2025-03-03,1,Drown, FCT (Abuja),1,0,2025-03,Monday,2025
IBD031893,"Assailant vs Man, Ogun",2025-03-03,2025-03-03,1,Assailant vs Man, Ogun,1,0,2025-03,Monday,2025
IBD031936,"Bandit Leader, FCT (Abuja)",2025-03-03,2025-03-03,1,Bandit Leader, FCT (Abuja),1,0,2025-03,Monday,2025
IBD031941,"Woman Killed, Bauchi",2025-03-02,2025-03-02,1,Woman Killed, Bauchi,1,0,2025-03,Sunday,2025
IBD031888,"Herders Kill Man, FCT (Abuja)",2025-03-02,2025-03-02,1,Herders Kill Man, FCT (Abuja),1,0,2025-03,Sunday,2025
IBD031858,"Gunmen Kill One, Gombe",2025-03-02,2025-03-02,1,Gunmen Kill One, Gombe,1,0,2025-03,Sunday,2025
IBD031874,"Community leader Killed, Anambra",2025-03-02,2025-03-02,1,Community leader Killed, Anambra,1,0,2025-03,Sunday,2025
IBD031866,"Teenager, Ogun",2025-03-02,2025-03-02,1,Teenager, Ogun,1,0,2025-03,Sunday,2025
IBD031861,"Herdsmen vs Vigilante, Delta",2025-03-02,2025-03-02,1,Herdsmen vs Vigilante, Delta,1,0,2025-03,Sunday,2025
IBD031883,"Drug Addict Kill Phone Charger, Ogun",2025-03-01,2025-03-01,1,Drug Addict Kill Phone Charger, Ogun,1,0,2025-03,Saturday,2025
IBD031853,"Domestic Violence, Bauchi",2025-03-01,2025-03-01,1,Domestic Violence, Bauchi,1,0,2025-03,Saturday,2025
IBD031854,"Herdsmen vs Farmers, Benue",2025-03-01,2025-03-01,6,Herdsmen vs Farmers, Benue,6,0,2025-03,Saturday,2025
IBD031939,"Policeman vs Okada Riders, Plateau",2025-03-01,2025-03-01,1,Policeman vs Okada Riders, Plateau,1,0,2025-03,Saturday,2025
IBD031659,"Police vs Kidnappers, Kwara",2025-03-01,2025-03-01,2,Police vs Kidnappers, Kwara,2,0,2025-03,Saturday,2025
IBD031855,"Gunmen vs Businessman, Ondo",2025-03-01,2025-03-01,1,Gunmen vs Businessman, Ondo,1,0,2025-03,Saturday,2025
IBD031913,"Female Corpses, Delta",2025-03-01,2025-03-01,2,Female Corpses, Delta,2,0,2025-03,Saturday,2025
IBD031852,"Auto Crash, Edo",2025-03-01,2025-03-01,12,Auto Crash, Edo,12,0,2025-03,Saturday,2025
IBD031857,"Gunmen vs Man, Zamafara",2025-03-01,2025-03-01,1,Gunmen vs Man, Zamafara,1,0,2025-03,Saturday,2025
IBD031864,"Soldiers vs Boko Haram, Borno",2025-03-01,2025-03-01,15,Soldiers vs Boko Haram, Borno,15,0,2025-03,Saturday,2025
IBD031860,"Cult Clash, Delta",2025-02-28,2025-02-28,2,Cult Clash, Delta,2,0,2025-02,Friday,2025
IBD032001,"Inferno, Yobe",2025-02-28,2025-02-28,1,Inferno, Yobe,1,0,2025-02,Friday,2025
IBD031856,"Herdsmen Attack, Delta",2025-02-28,2025-02-28,1,Herdsmen Attack, Delta,1,0,2025-02,Friday,2025
IBD031808,"Auto Crash, Kwara",2025-02-28,2025-02-28,1,Auto Crash, Kwara,1,0,2025-02,Friday,2025
IBD031887,"Domestic Violence, Bauchi",2025-02-28,2025-02-28,1,Domestic Violence, Bauchi,1,0,2025-02,Friday,2025
IBD031862,"Banditry, Zamfara",2025-02-27,2025-02-27,2,Banditry, Zamfara,2,0,2025-02,Thursday,2025
IBD031839,"Auto Crash, Enugu",2025-02-27,2025-02-27,6,Auto Crash, Enugu,6,0,2025-02,Thursday,2025
IBD031846,"Herdsmen Attack, Edo",2025-02-27,2025-02-27,2,Herdsmen Attack, Edo,2,0,2025-02,Thursday,2025
IBD031851,"Banditry, Katsina",2025-02-27,2025-02-27,17,Banditry, Katsina,17,0,2025-02,Thursday,2025
